timestamp,id,type,x,y,theta
1657100477.8,2459816,BICYCLE,419482.284946657,4732675.48509792,-2.67393183708191
1657100477.9,2459816,BICYCLE,419482.007230928,4732675.34792819,-2.66869783401489
1657100478.0,2459816,BICYCLE,419481.743594073,4732675.20845512,-2.66557025909424
1657100478.1,2459816,BICYCLE,419481.470087769,4732675.06945156,-2.66359186172485
1657100478.2,2459816,BICYCLE,419481.205736238,4732674.91999224,-2.66226053237915
1657100478.3,2459816,BICYCLE,419480.927962299,4732674.77370036,-2.66136717796326
1657100478.4,2459816,BICYCLE,419480.655413629,4732674.62666497,-2.66070365905762
1657100478.5,2459816,BICYCLE,419480.381386773,4732674.47832518,-2.6602144241333
1657100478.6,2459816,BICYCLE,419480.100021451,4732674.32174341,-2.65981221199036
1657100478.7,2459816,BICYCLE,419479.83135557,4732674.15870438,-2.6592333316803
1657100478.8,2459816,BICYCLE,419479.558334643,4732673.99373677,-2.65868377685547
1657100478.9,2459816,BICYCLE,419479.28657977,4732673.83366446,-2.63533020019531
1657100479.0,2459816,BICYCLE,419479.009618012,4732673.66188872,-2.61009120941162
1657100479.1,2459816,BICYCLE,419478.742206937,4732673.50272899,-2.59058570861816
1657100479.2,2459816,BICYCLE,419478.460424187,4732673.34150996,-2.58042025566101
1657100479.3,2459816,BICYCLE,419478.187128981,4732673.17247206,-2.57963132858276
1657100479.4,2459816,BICYCLE,419477.917536013,4732672.9930035,-2.57892394065857
1657100479.5,2459816,BICYCLE,419477.649952009,4732672.82332936,-2.5783326625824
1657100479.6,2459816,BICYCLE,419477.394780322,4732672.64914456,-2.57733416557312
1657100479.7,2459816,BICYCLE,419477.155152163,4732672.47500073,-2.57659149169922
1657100479.8,2459816,BICYCLE,419476.907161651,4732672.32155737,-2.57650208473206
1657100479.9,2459816,BICYCLE,419476.670268087,4732672.1606796,-2.57616877555847
1657100480.0,2459816,BICYCLE,419476.440571323,4732671.99180873,-2.57625532150269
1657100480.1,2459816,BICYCLE,419476.198493021,4732671.8332164,-2.57616066932678
1657100480.2,2459816,BICYCLE,419475.975460971,4732671.68625963,-2.57615065574646
1657100480.3,2459816,BICYCLE,419475.749843921,4732671.53608727,-2.57614374160767
1657100480.4,2459816,BICYCLE,419475.49176985,4732671.39566813,-2.57611298561096
1657100480.5,2459816,BICYCLE,419475.243132682,4732671.25920167,-2.57606482505798
1657100480.6,2459816,BICYCLE,419474.990046486,4732671.12714195,-2.57602882385254
1657100480.7,2459816,BICYCLE,419474.728250767,4732670.99574638,-2.57599878311157
1657100480.8,2459816,BICYCLE,419474.46868745,4732670.84801455,-2.57596492767334
1657100480.9,2459816,BICYCLE,419474.204611833,4732670.70459168,-2.57597947120667
1657100481.0,2459816,BICYCLE,419473.941651856,4732670.55858574,-2.57598829269409
1657100481.1,2459816,BICYCLE,419473.669458133,4732670.43404069,-2.57599139213562
1657100481.2,2459816,BICYCLE,419473.407501241,4732670.28665861,-2.57599091529846
1657100481.3,2459816,BICYCLE,419473.155774839,4732670.15091002,-2.57587075233459
1657100481.4,2459816,BICYCLE,419472.906976317,4732669.98923832,-2.57576513290405
1657100481.5,2459816,BICYCLE,419472.667894544,4732669.81795276,-2.5756664276123
1657100481.6,2459816,BICYCLE,419472.410711607,4732669.66394612,-2.57557702064514
1657100481.7,2459816,BICYCLE,419472.157892274,4732669.50928085,-2.57549929618835
1657100481.8,2459816,BICYCLE,419471.898555748,4732669.35325309,-2.57055735588074
1657100481.9,2459816,BICYCLE,419471.653632906,4732669.19631366,-2.56889224052429
1657100482.0,2459816,BICYCLE,419471.400816616,4732669.03957512,-2.55638837814331
1657100482.1,2459816,BICYCLE,419471.153408282,4732668.87416571,-2.54009389877319
1657100482.2,2459816,BICYCLE,419471.002847268,4732668.74965937,-2.52424383163452
1657100482.3,2459816,BICYCLE,419470.764554815,4732668.58418162,-2.52216506004333
1657100482.4,2459816,BICYCLE,419470.5256949,4732668.42811195,-2.5207188129425
1657100482.5,2459816,BICYCLE,419470.289197186,4732668.2820513,-2.51901865005493
1657100482.6,2459816,BICYCLE,419470.058335077,4732668.14529319,-2.51715707778931
1657100482.7,2459816,BICYCLE,419469.79267884,4732667.99463225,-2.51065993309021
1657100482.8,2459816,BICYCLE,419469.509045841,4732667.84094632,-2.50715923309326
1657100482.9,2459816,BICYCLE,419469.253945909,4732667.6926136,-2.50529313087463
1657100483.0,2459816,BICYCLE,419468.987315576,4732667.52382683,-2.50421714782715
1657100483.1,2459816,BICYCLE,419468.717198587,4732667.38163407,-2.50352382659912
1657100483.2,2459816,BICYCLE,419468.446778055,4732667.24118074,-2.50306820869446
1657100483.3,2459816,BICYCLE,419468.195705914,4732667.0815129,-2.50265049934387
1657100483.4,2459816,BICYCLE,419467.928029758,4732666.92224528,-2.45482206344604
1657100483.7,2459816,BICYCLE,419467.147364172,4732666.51257987,-2.40497589111328
1657100483.8,2459816,BICYCLE,419466.908176415,4732666.34745188,-2.37109136581421
1657100483.9,2459816,BICYCLE,419466.657298856,4732666.1724844,-2.34745502471924
1657100484.0,2459816,BICYCLE,419466.38763768,4732666.00405248,-2.33191633224487
1657100484.1,2459816,BICYCLE,419466.150161885,4732665.83019688,-2.33051633834839
1657100484.2,2459816,BICYCLE,419465.931309749,4732665.67226731,-2.32986950874329
1657100484.3,2459816,BICYCLE,419465.704266561,4732665.51958969,-2.33993029594421
1657100484.4,2459816,BICYCLE,419465.461443726,4732665.36086248,-2.34841561317444
1657100484.5,2459816,BICYCLE,419465.224098384,4732665.23152958,-2.35130214691162
1657100484.6,2459816,BICYCLE,419464.992265861,4732665.10428773,-2.35111403465271
1657100484.7,2459816,BICYCLE,419464.755226704,4732664.97242253,-2.35018539428711
1657100484.8,2459816,BICYCLE,419464.50197567,4732664.82128463,-2.35599970817566
1657100484.9,2459816,BICYCLE,419464.273355269,4732664.65513345,-2.3665668964386
1657100485.0,2459816,BICYCLE,419464.023620448,4732664.50141493,-2.37175989151001
1657100485.1,2459816,BICYCLE,419463.7684701,4732664.33398835,-2.38618230819702
1657100485.2,2459816,BICYCLE,419463.510873041,4732664.1397664,-2.35170197486877
1657100485.3,2459816,BICYCLE,419463.26902026,4732663.95354277,-2.34013938903809
1657100485.4,2459816,BICYCLE,419463.02777335,4732663.79235692,-2.33233404159546
1657100485.5,2459816,BICYCLE,419462.779753024,4732663.63803766,-2.33233404159546
1657100485.6,2459816,BICYCLE,419462.5401882,4732663.49158085,-2.33233404159546
1657100485.7,2459816,BICYCLE,419462.308608987,4732663.35227829,-2.33233404159546
1657100485.8,2459816,BICYCLE,419462.049085423,4732663.20162717,-2.33233404159546
1657100485.9,2459816,BICYCLE,419461.817716484,4732663.10016411,-2.33219385147095
1657100486.0,2459816,BICYCLE,419461.548433886,4732662.96217685,-2.33219385147095
1657100486.1,2459816,BICYCLE,419461.281821383,4732662.82271608,-2.33219385147095
1657100486.2,2459816,BICYCLE,419461.040593277,4732662.7085216,-2.33219385147095
1657100486.3,2459816,BICYCLE,419460.815772149,4732662.58795606,-2.40848350524902
1657100486.4,2459816,BICYCLE,419460.524418522,4732662.44048028,-2.40848350524902
1657100486.5,2459816,BICYCLE,419460.268696221,4732662.30148313,-2.50827527046204
1657100486.6,2459816,BICYCLE,419460.027366492,4732662.16609836,-2.50827527046204
1657100486.7,2459816,BICYCLE,419459.777342937,4732662.02005511,-2.55987071990967
1657100486.8,2459816,BICYCLE,419459.512310273,4732661.86752233,-2.58525633811951
1657100486.9,2459816,BICYCLE,419459.269939266,4732661.72684625,-2.60425233840942
1657100487.0,2459816,BICYCLE,419459.055530075,4732661.58814538,-2.6099066734314
1657100487.1,2459816,BICYCLE,419458.798027822,4732661.4410717,-2.62033176422119
1657100487.2,2459816,BICYCLE,419458.538984698,4732661.31132291,-2.62268972396851
1657100487.3,2459816,BICYCLE,419458.303892549,4732661.1684282,-2.62242150306702
1657100487.4,2459816,BICYCLE,419458.050558437,4732661.01254233,-2.62119007110596
1657100487.5,2459816,BICYCLE,419457.794188898,4732660.85390843,-2.62069201469421
1657100487.6,2459816,BICYCLE,419457.547877051,4732660.69955562,-2.62115812301636
1657100487.7,2459816,BICYCLE,419457.363868834,4732660.57765247,-2.62115812301636
1657100477.8,2466503,BICYCLE,419506.31866033,4732681.93147835,-1.40173137187958
1657100477.9,2466503,BICYCLE,419506.233317374,4732682.2781626,-1.4015280008316
1657100478.0,2466503,BICYCLE,419506.164910242,4732682.62444192,-1.40153622627258
1657100478.1,2466503,BICYCLE,419506.104615815,4732682.98978242,-1.40143954753876
1657100478.2,2466503,BICYCLE,419506.022403937,4732683.34909702,-1.40132105350494
1657100478.3,2466503,BICYCLE,419505.994914402,4732683.51850093,-1.26453769207001
1657100478.4,2466503,BICYCLE,419505.924008696,4732683.84175557,-0.675236165523529
1657100478.5,2466503,BICYCLE,419505.876909683,4732684.17499687,-0.538037538528442
1657100478.6,2466503,BICYCLE,419505.807478803,4732684.49204195,-0.892766177654266
1657100478.7,2466503,BICYCLE,419505.802887918,4732684.82421365,-1.04762613773346
1657100478.8,2466503,BICYCLE,419505.745899882,4732685.164851,-1.03017914295197
1657100478.9,2466503,BICYCLE,419505.690447687,4732685.51517416,-1.10732316970825
1657100479.0,2466503,BICYCLE,419505.664280712,4732685.85744892,-1.10732316970825
1657100479.1,2466503,BICYCLE,419505.58199635,4732686.17387828,-1.10732316970825
1657100479.2,2466503,BICYCLE,419505.792253388,4732686.43156679,-1.12952530384064
1657100479.3,2466503,BICYCLE,419505.474522464,4732686.93075527,-1.24480211734772
1657100479.4,2466503,BICYCLE,419505.460234705,4732687.3331429,-1.3019425868988
1657100479.5,2466503,BICYCLE,419505.467063739,4732687.71669674,-1.33021175861359
1657100479.6,2466503,BICYCLE,419505.635803479,4732688.10258232,-1.34576666355133
1657100479.7,2466503,BICYCLE,419505.677683217,4732688.39050696,-0.460012555122375
1657100479.8,2466503,BICYCLE,419505.717593961,4732688.66848028,-0.195965066552162
1657100479.9,2466503,BICYCLE,419505.780318421,4732688.92485282,-0.195965066552162
1657100480.0,2466503,BICYCLE,419505.84249201,4732689.21148167,0.418657183647156
1657100480.1,2466503,BICYCLE,419507.690610622,4732688.97613815,0.418657183647156
1657100480.2,2466503,BICYCLE,419507.696573022,4732688.92809362,0.483189761638641
1657100480.3,2466503,BICYCLE,419507.63158941,4732688.95759347,0.377955734729767
1657100480.4,2466503,BICYCLE,419507.676168951,4732688.94514155,0.283204197883606
1657100480.5,2466503,BICYCLE,419507.704754348,4732688.94262232,-0.136911660432816
1657100480.6,2466503,BICYCLE,419507.659639999,4732688.91102071,-0.136911660432816
1657100480.7,2466503,BICYCLE,419507.671766829,4732688.92316113,-0.323316216468811
1657100480.8,2466503,BICYCLE,419507.653391284,4732688.94526591,-0.488001465797424
1657100480.9,2466503,BICYCLE,419507.695402991,4732688.94970425,-0.514699101448059
1657100481.0,2466503,BICYCLE,419507.697026471,4732688.93101859,-0.521451830863953
1657100487.2,2466503,BICYCLE,419507.091252427,4732689.14919819,-0.395705193281174
1657100477.8,2467321,BICYCLE,419532.359377585,4732657.76005236,0.501577913761139
1657100477.9,2467321,BICYCLE,419532.372984291,4732657.75944312,0.501526355743408
1657100478.0,2467321,BICYCLE,419532.368164754,4732657.7525947,0.501500070095062
1657100478.1,2467321,BICYCLE,419532.365275756,4732657.74735683,0.501465678215027
1657100478.2,2467321,BICYCLE,419532.356002337,4732657.73599594,0.501460194587708
1657100478.3,2467321,BICYCLE,419532.361140861,4732657.72761477,0.501437067985535
1657100478.4,2467321,BICYCLE,419532.358922722,4732657.72623704,0.501423299312592
1657100478.5,2467321,BICYCLE,419532.332972118,4732657.70846527,0.501757144927979
1657100478.6,2467321,BICYCLE,419532.281204535,4732657.67468329,0.502607107162476
1657100478.7,2467321,BICYCLE,419532.204053565,4732657.62523024,0.502806961536407
1657100478.8,2467321,BICYCLE,419532.103592041,4732657.56528277,0.502516865730286
1657100478.9,2467321,BICYCLE,419532.073454178,4732657.576156,0.502204775810242
1657100479.0,2467321,BICYCLE,419532.320627247,4732657.7182414,0.502094089984894
1657100479.1,2467321,BICYCLE,419532.265853389,4732657.69090301,0.502074420452118
1657100479.2,2467321,BICYCLE,419532.249510223,4732657.68404988,0.502063393592834
1657100479.3,2467321,BICYCLE,419532.253414408,4732657.68521238,0.502073109149933
1657100479.4,2467321,BICYCLE,419532.250552984,4732657.68440107,0.502212166786194
1657100479.5,2467321,BICYCLE,419532.297798891,4732657.71823111,0.502455592155457
1657100479.6,2467321,BICYCLE,419532.312603756,4732657.74579951,0.502733886241913
1657100479.7,2467321,BICYCLE,419532.339512569,4732657.7560597,0.503055274486542
1657100479.8,2467321,BICYCLE,419532.339315003,4732657.75657595,0.503587901592255
1657100479.9,2467321,BICYCLE,419532.366175444,4732657.76862775,0.504517018795013
1657100480.0,2467321,BICYCLE,419532.363466299,4732657.76576273,0.505775809288025
1657100480.1,2467321,BICYCLE,419532.363649756,4732657.76262156,0.507280468940735
1657100480.2,2467321,BICYCLE,419532.369505343,4732657.73938226,0.508875966072083
1657100480.3,2467321,BICYCLE,419532.357182026,4732657.73268346,0.51038670539856
1657100480.4,2467321,BICYCLE,419532.343664836,4732657.7250088,0.511725842952728
1657100480.5,2467321,BICYCLE,419532.308249449,4732657.70166073,0.509400129318237
1657100480.6,2467321,BICYCLE,419532.177274328,4732657.73521277,0.509220242500305
1657100480.7,2467321,BICYCLE,419532.216247684,4732657.81907542,0.50891637802124
1657100480.8,2467321,BICYCLE,419532.071953617,4732657.59086972,0.507536232471466
1657100480.9,2467321,BICYCLE,419532.02209189,4732657.59015059,0.509561896324158
1657100481.0,2467321,BICYCLE,419532.229738915,4732657.69777078,0.510908663272858
1657100481.1,2467321,BICYCLE,419532.329066009,4732657.74916586,0.512281894683838
1657100481.2,2467321,BICYCLE,419532.353779429,4732657.76826871,0.513081669807434
1657100481.3,2467321,BICYCLE,419532.421115432,4732657.80285942,0.51384824514389
1657100481.4,2467321,BICYCLE,419532.462470631,4732657.82208416,0.51458066701889
1657100481.5,2467321,BICYCLE,419532.483825653,4732657.83302828,0.515271842479706
1657100481.6,2467321,BICYCLE,419532.500021504,4732657.83428588,0.515931904315948
1657100481.7,2467321,BICYCLE,419532.506655637,4732657.83537231,0.516465067863464
1657100481.8,2467321,BICYCLE,419532.505428277,4732657.83459352,0.516951203346252
1657100481.9,2467321,BICYCLE,419532.494989054,4732657.8359594,0.517322182655334
1657100482.0,2467321,BICYCLE,419532.478733012,4732657.82668001,0.517922520637512
1657100482.1,2467321,BICYCLE,419532.287859408,4732657.78881051,0.518138706684113
1657100482.2,2467321,BICYCLE,419532.397494209,4732657.77191779,0.517816007137299
1657100482.3,2467321,BICYCLE,419532.150832678,4732657.70939329,0.517803370952606
1657100482.4,2467321,BICYCLE,419532.313673171,4732657.72440962,0.517795622348785
1657100482.5,2467321,BICYCLE,419532.272620424,4732657.7077316,0.517787754535675
1657100482.6,2467321,BICYCLE,419532.245023061,4732657.66975082,0.517953872680664
1657100482.7,2467321,BICYCLE,419532.332592923,4732657.73737697,0.518066704273224
1657100482.8,2467321,BICYCLE,419532.370859261,4732657.757122,0.518218874931335
1657100482.9,2467321,BICYCLE,419532.34517069,4732657.73355616,0.519717872142792
1657100483.0,2467321,BICYCLE,419532.399538359,4732657.7746653,0.522193253040314
1657100483.1,2467321,BICYCLE,419532.430611874,4732657.7926326,0.524850308895111
1657100483.2,2467321,BICYCLE,419532.455223511,4732657.80600443,0.52769660949707
1657100483.3,2467321,BICYCLE,419532.455084781,4732657.80402576,0.530577003955841
1657100483.4,2467321,BICYCLE,419532.448955119,4732657.80457476,0.533115684986115
1657100483.5,2467321,BICYCLE,419531.925672498,4732657.64675772,0.53316605091095
1657100483.6,2467321,BICYCLE,419532.223772981,4732657.68411176,0.534059941768646
1657100483.7,2467321,BICYCLE,419532.198933819,4732657.67081043,0.535569489002228
1657100483.8,2467321,BICYCLE,419532.198434008,4732657.65293031,0.537529945373535
1657100483.9,2467321,BICYCLE,419532.202552814,4732657.67202474,0.538950383663177
1657100484.0,2467321,BICYCLE,419532.151924333,4732657.6380328,0.546855866909027
1657100484.1,2467321,BICYCLE,419532.143790173,4732657.62711734,0.567481637001038
1657100484.2,2467321,BICYCLE,419532.145558988,4732657.6281918,0.591758966445923
1657100484.3,2467321,BICYCLE,419532.152442284,4732657.62480153,0.627177357673645
1657100484.4,2467321,BICYCLE,419532.160398541,4732657.62571952,0.650686681270599
1657100484.5,2467321,BICYCLE,419532.181343639,4732657.64207226,0.67586749792099
1657100484.6,2467321,BICYCLE,419532.195753401,4732657.6449125,0.68939483165741
1657100484.7,2467321,BICYCLE,419532.232737359,4732657.67498075,0.708109140396118
1657100484.8,2467321,BICYCLE,419532.232139687,4732657.66448886,0.707078754901886
1657100484.9,2467321,BICYCLE,419532.238965578,4732657.65850262,0.710485398769379
1657100485.0,2467321,BICYCLE,419532.251667815,4732657.67138248,0.712135672569275
1657100485.1,2467321,BICYCLE,419532.269477645,4732657.68622802,0.71393871307373
1657100485.2,2467321,BICYCLE,419532.279232504,4732657.70864221,0.716238498687744
1657100485.3,2467321,BICYCLE,419532.288858784,4732657.7357105,0.721409797668457
1657100485.4,2467321,BICYCLE,419532.300153386,4732657.74764215,0.723782122135162
1657100485.5,2467321,BICYCLE,419532.3079897,4732657.75419606,0.726569175720215
1657100485.6,2467321,BICYCLE,419532.309609799,4732657.75375599,0.728043496608734
1657100485.7,2467321,BICYCLE,419532.313061044,4732657.75072396,0.727771818637848
1657100485.8,2467321,BICYCLE,419532.293204207,4732657.74520442,0.7342249751091
1657100485.9,2467321,BICYCLE,419532.277331721,4732657.73651561,0.738717913627625
1657100486.0,2467321,BICYCLE,419532.254482379,4732657.71406157,0.74202287197113
1657100486.1,2467321,BICYCLE,419532.23928322,4732657.70659719,0.743636965751648
1657100486.2,2467321,BICYCLE,419532.227881831,4732657.69713356,0.745485424995422
1657100486.3,2467321,BICYCLE,419532.203229821,4732657.69683473,0.746664941310883
1657100486.4,2467321,BICYCLE,419532.21851554,4732657.71279023,0.747050642967224
1657100486.5,2467321,BICYCLE,419532.225765416,4732657.7204647,0.749707221984863
1657100486.6,2467321,BICYCLE,419532.238482563,4732657.72175313,0.750863134860992
1657100486.7,2467321,BICYCLE,419532.246672133,4732657.73936637,0.751010537147522
1657100486.8,2467321,BICYCLE,419532.261179509,4732657.76810349,0.750634670257568
1657100486.9,2467321,BICYCLE,419532.302235623,4732657.80700602,0.749684989452362
1657100487.0,2467321,BICYCLE,419532.326799633,4732657.83037028,0.748679339885712
1657100487.1,2467321,BICYCLE,419532.330250985,4732657.83946167,0.747364580631256
1657100487.2,2467321,BICYCLE,419532.306381058,4732657.82188751,0.744308352470398
1657100487.3,2467321,BICYCLE,419532.290225391,4732657.81590964,0.740242481231689
1657100487.4,2467321,BICYCLE,419532.305264632,4732657.8234501,0.733894646167755
1657100487.5,2467321,BICYCLE,419532.294796866,4732657.82475299,0.7214635014534
1657100487.6,2467321,BICYCLE,419532.280313063,4732657.82058797,0.706134855747223
1657100487.7,2467321,BICYCLE,419532.280098435,4732657.82417875,0.695622801780701
